Name,Gender,Course,Round,Hole,Par,Score,FIR,GIR,Approach.Dist,Putts,Exp_Putts,strokesgained,PuttLength
Player 1,Male,Longue Vue Club,Qualifying,Total,70,82,0,0,0,0,0,0,0
Player 3,Male,San Destin Resort - Raven,Tournament,Total,71,69,0,0,0,0,0,0,0
Player 3,Male,San Destin Resort - Raven,Tournament,Total,71,66,0,0,0,0,0,0,0
Player 9,Male,Longue Vue Club,Qualifying,Total,70,80,0,0,0,0,0,0,0
Player 6,Male,San Destin Resort - Raven,Tournament,Total,71,76,0,0,0,0,0,0,0
Player 11,Male,Longue Vue Club,Qualifying,Total,70,71,0,0,0,0,0,0,0
Player 3,Male,San Destin Resort - Raven,Tournament,Total,71,71,0,0,0,0,0,0,0
Player 8,Male,Longue Vue Club,Qualifying,Total,70,83,0,0,0,0,0,0,0
Player 14,Male,Longue Vue Club,Qualifying,Total,70,70,0,0,0,0,0,0,0
Player 3,Male,Sedgefield Country Club - Dye Course,Tournament,Total,71,75,0,0,0,0,0,0,0
Player 3,Male,Sedgefield Country Club - Dye Course,Tournament,Total,71,68,0,0,0,0,0,0,0
Player 4,Male,Sedgefield Country Club - Dye Course,Tournament,Total,71,75,0,0,0,0,0,0,0
Player 3,Male,Wigwam Gold Course,Tournament,Total,70,67,0,0,0,0,0,0,0
Player 3,Male,Pittsburgh Field Club,Qualifying,11,5,3,Hit,Hit,176-200 yards,0,0,0,0
Player 20,Female,Meadville Country Club,Tournament,Total,73,82,0,0,0,0,0,0,0
Player 19,Female,Indiana Country Club,Qualifying,10,3,3,Not Applicable (PAR 3),Hit,176-200 yards,2,0,-2,0
Player 17,Female,Avalon Lakes Golf Club,Qualifying,3,5,6,Hit,Miss,101-125 yards,2,0,-2,0
Player 2,Male,Nemacolin Resort - Shepards Rock,Qualifying,1,5,3,Hit,Hit,Less than 50 yards,0,0,0,0
Player 15,Female,Avalon Lakes Golf Club,Qualifying,Total,72,82,0,0,0,0,0,0,0
Player 15,Female,Nemacolin Resort - Shepards Rock,Qualifying,Total,72,87,0,0,0,0,0,0,0
Player 17,Female,Avalon Lakes Golf Club,Qualifying,Total,72,81,0,0,0,0,0,0,0
Player 16,Female,Meadville Country Club,Tournament,Total,73,79,0,0,0,0,0,0,0
Player 21,Female,Indiana Country Club,Qualifying,Total,72,80,0,0,0,0,0,0,0
Player 21,Female,PGA National - Palmer,Tournament,Total,72,77,0,0,0,0,0,0,0
Player 19,Female,Longue Vue Club,Competitive,Total,72,82,0,0,0,0,0,0,0
Player 19,Female,Indiana Country Club,Qualifying,7,3,3,Not Applicable (PAR 3),Miss,151-175 yards,1,0,-1,0
Player 11,Male,San Destin Resort - Raven,Tournament,10,4,3,Hit,Miss,76-100 yards,0,0,0,0
Player 17,Female,Avalon Lakes Golf Club,Qualifying,18,4,6,Hit,Miss,151-175 yards,3,0,-3,0
Player 17,Female,Avalon Lakes Golf Club,Qualifying,12,3,3,Not Applicable (PAR 3),Hit,126-150 yards,2,0,-2,0
Player 19,Female,Indiana Country Club,Qualifying,13,4,4,Missed,Miss,126-150 yards,1,0,-1,0
Player 4,Male,PGA National - Champions,Tournament,8,4,3,Missed,Miss,151-175 yards,0,0,0,0
